objectid,area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
1675,,,,,LL,,,,,,Approved,,,,,,,,,,,,,North Oakland-Bloomfield,LL,LL - North Oakland-Bloomfield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,91358.0703125,2392.61427408936
1676,,8150.22376721,24,86,S,NORTH OAKLAND,0,12.46,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Schenley Heights,S,S - Schenley Heights,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,542777.44921875,8150.22229528214
1677,,8150.22376721,24,86,S,NORTH OAKLAND,0,12.46,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Schenley Heights,S,S - Schenley Heights,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,45881.177734375,1672.229463618
1678,,0,0,0,EE,POINT BREEZE,0,0,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,Point Breeze,EE,EE - Point Breeze,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,1553577.23577881,9672.49026106725
1679,,8214.33030066,35,104,W,CRAWFORD ROBERTS,0,25.442,0,1,Approved,,1 Hour,3 Days,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 6:00 PM,None,,,Crawford-Roberts,W,W - Crawford-Roberts,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires June 1st,1328933.53167725,10097.3648148599
1680,,8214.33030066,35,104,W,CRAWFORD ROBERTS,0,25.442,0,1,Approved,,1 Hour,3 Days,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 6:00 PM,None,,,Crawford-Roberts,W,W - Crawford-Roberts,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires June 1st,55012.0391235352,1100.06800364424
1681,,12271.3261427,28,52,Z,SQUIRREL HILL NORTH,0,62.797,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Squirrel Hill,Z,Z - Squirrel Hill,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires June 1st,3833132.98504639,10744.526407055
1682,,3841.74917448,14,10,V,SHADYSIDE,0,9.211,0.016,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Shadyside,V,V - Shadyside,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires June 1st,423036.658203125,3291.96716115056
1683,,2428.37530794,32,31,AA,SQUIRREL HILL NORTH,0,4.906,0.008,1,Approved,,1 Hour,3 Days,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,None,None,,,Schenley Farms,AA,AA - Schenley Farms,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires July 1st,213714.273132324,2428.37490812341
1684,,2428.37530794,32,31,AA,SQUIRREL HILL NORTH,0,4.906,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Beechview,AA,AA - Beechview,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires July 1st,39233.1823730469,794.019870309864
